$no_asm,$no_8x8dct,$no_cabac,$no_deblock,$no_fast_pskip,$no_mbtree,$no_mixed_refs,$no_weightb,$rc_lookahead,$rc_lookahead_20,$rc_lookahead_40,$rc_lookahead_60,$ref,$ref_1,$ref_5,$ref_9,$<Performance
1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,286.430
1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,444.607
1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,643.960
1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,510.837
1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,773.220
1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,379.457
1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,671.697
1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,583.427
1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,275.960
1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,627.813
1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,627.053
1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,683.420
1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,485.583
1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,263.373
1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,575.663
1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,432.030
1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,267.853
1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,299.660
1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,651.703
1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,299.703
1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,482.640
1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,277.533
1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,613.763
1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,251.573
1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,510.017
1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,742.463
1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,632.127
1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,446.600
1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,731.193
1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,556.513
1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,251.870
1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,512.870
1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,671.730
1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,369.617
1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,370.770
1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,433.860
1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,651.287
1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,705.453
1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,263.207
1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,263.753
1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,270.013
1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,817.340
1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,544.823
1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,494.233
1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,608.997
1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,264.293
1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,287.107
1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,561.970
1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,561.743
